step,ing_min,ing_max,ing_mean,ing_p99,ing_stddev,ing_max_mean,qry_min,qry_max,qry_mean,qry_p99,qry_stddev,qry_max_mean,ing_moves,qry_moves,ing_churn,catchup_count,catchup_load
143,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
144,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
145,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
146,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
147,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
148,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
149,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
150,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
151,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
152,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
153,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
154,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
155,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
156,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
157,0.0000,54.4854,0.1239,0.4405,2.0235,54.3615,0.0234,184.6814,2.8495,184.6814,20.5264,181.8319,0,0,0.000000,0,0.0000
